id,name,isSoup,isSpicy,isSweet,isHot,isMeat,isNoodle,isRice,isBread
61,"추천
[매장] 부대찌개 1인분",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
62,강남샤브샤브,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
63,군만두,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
64,한우육회,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
65,닭백숙,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
66,물갈비,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
67,춘천닭갈비 (1인분),FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
68,전주콩나물해장국,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
69,노가리(2마리),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
70,보보맘밥상 (여름) (1인),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
71,아구찜 (소),TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
72,반반족발 (중),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
73,클래식 치즈 피자,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
74,생삼겹갈비,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
75,숯불 흑돼지 퐁듀,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
76,국물밀떡,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
77,감자튀김,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
78,곱창구이 (2인),FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
79,혼마구로초밥,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
80,깐풍 가지튀김,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
81,육회(중),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
82,골드 치킨 텐더 피자,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
83,new 깐쇼새우(7미)+짜장1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
84,삼겹살 (150g),FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
85,김치찌개(보통),TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
