id,name,external_star,address_id,business_date,starttime,fintime,bestmenu_id,franchise,internal_star,restaurant_type
2017,백곱식당 신촌점,0,409,"월,화,수,목,금,토,일",16:00,01:00,693,True,,
2018,전주파전,0,1498,"월,화,수,목,금,토",15:00,24:00,326,False,,
2019,로실링,5.0,1998,"월,화,수,목,금,토,일",18:00,24:00,742,False,,
2020,브라더한정식 도시락 신촌점,0,1961,"월,화,수,목,금,토,일",10:00,20:00,null,True,,
2021,한강로칼국수,5.0,917,null,null,null,null,False,,
2022,논탄토 신촌점,4.9,1424,"월,화,수,목,금,토,일",10:00,22:00,400,False,,
2023,엘림샐러드카페,0,2001,null,null,null,null,False,,
2024,볼타(volta),5.0,590,"월,화,수,목",12:00,22:00,57,False,,
2025,육연소,4.0,590,null,null,null,540,False,,
2026,할리스 신촌연세로점,3.0,1605,null,null,null,723,False,,
2027,타오,4.9,896,null,null,null,690,False,,
2028,마포차돌박이,4.7,534,"월,화,수,목,일",14:00,24:00,261,False,,
2029,엄마의부엌,0,1341,null,null,null,null,False,,
2030,이젠푸드랩,5.0,1203,"화,수,목,금,토,일",11:00,23:00,625,False,,
2031,파인돈까스,0,1878,"월,화,수,목,금,토",11:30,21:00,633,False,,
2032,오모플라타,0,1057,"월,화,수,목,금,토,일",11:00,22:00,null,False,,
2033,바나프레소 신촌점,5.0,1358,null,null,null,null,False,,
2034,타코야끼 in 문어,3.5,1022,null,null,null,null,False,,
2035,대패가1900 서대문구점,0,1393,null,null,null,null,True,,
2036,블랙번즈,0,1806,null,null,null,null,False,,
2037,무한,1.0,904,null,null,null,null,False,,
2038,뉴욕비,3.8,1472,"월,화,수,목,금,토,일",09:00,01:00,50,False,,
2039,신부양각,4.0,2069,null,null,null,null,False,,
2040,만리장성,4.1,74,null,null,null,51,False,,
2041,다래원,1.9,916,null,null,null,291,False,,
2042,돈낭군 찌개부인,4.0,1070,null,null,null,null,False,,
2043,대박,0,67,null,null,null,null,False,,
2044,"왕돈까스, 왕냉면",2.8,320,"월,화,수,목,금,토,일",00:00,24:00,715,True,,
2045,다래식당,3.2,1453,"월,화,수,목,금,토,일",11:30,20:00,532,False,,
2046,순천식당,4.8,67,null,null,null,null,False,,
2047,신짱스시,51,1514,"화,수,목,금,토",11:30,22:00,342,False,,
2048,큐피드,0,183,null,null,null,null,False,,
2049,향백,3.5,588,null,null,null,null,False,,
2050,처갓집양념치킨 장승배기점,5.0,2287,null,null,null,548,True,,
2051,연래춘,4.6,648,"월,화,수,목,금",09:00,21:00,51,False,,
2052,놀부자 정육식당,2.0,470,null,null,null,null,False,,
2053,전주식당,0,1272,null,null,null,null,False,,
2054,성대낙지,3.5,212,null,null,null,1042,False,,
2055,소품은돼지,평점 없음,240,null,null,null,null,False,,
2056,서호식당,0,1521,null,null,null,null,False,,
2057,늘보리 냉삼집,4.0,188,"월,화,수,목,금,토,일",17:00,01:00,null,False,,
2058,파라다이스,4.0,268,"월,화,수,목,금",09:00,21:00,104,False,,
2059,원조흥부왕족발,2.7,240,"월,화,수,목,금,토,일",12:00,22:00,842,False,,
2060,우리포차,0,1794,null,null,null,null,False,,
2061,고향삼계탕,2.5,243,null,null,null,982,False,,
2062,칸꼬시,0,969,null,null,null,null,False,,
2063,백채신대방삼거리(백채김치찌개),4.3,229,"월,화,수,목,금,토,일",11:00,24:00,856,False,,
2064,이가초밥,3.9,212,"월,화,수,목,금,토",11:30,21:00,187,False,,
2065,한솔쌈밥시골보리밥,4.5,1386,"월,화,수,목,금,토,일",11:00,22:00,958,False,,
2066,말로(Mallo),5.0,1524,null,null,null,38,False,,
2067,신방통통 낙지,0,844,null,null,null,null,False,,
2068,두리김밥,0,1952,null,null,null,null,True,,
2069,맨날술이야,5.0,1577,null,null,null,null,False,,
2070,상도로3가,0,1953,"월,화,수,목,금,토",17:00,04:00,119,False,,
2071,옥문,3.4,1035,null,null,null,587,False,,
2072,다성반점,4.3,116,null,null,null,51,False,,
2073,동춘돌곱창,3.7,1734,"월,화,수,목,금,토,일",16:00,03:00,344,True,,
2074,제이엠,0,824,null,null,null,null,False,,
2075,장수식당,0,2135,null,null,null,null,False,,
2076,페리카나치킨,0,81,null,null,null,null,False,,
2077,별법 동태탕.찜,0,67,null,null,null,null,False,,
2078,상도감자탕 족발,3.2,252,"월,화,수,목,금,토,일",00:00,24:00,497,False,,
2079,28청춘호프포차,5.0,412,null,null,null,1009,False,,
2080,블루힐,5.0,1425,null,null,null,984,False,,
2081,연정 순대국,5.0,228,"월,화,수,목,금,토,일",10:00,22:00,null,False,,
2082,케리홈치킨,0,975,null,null,null,null,False,,
2083,형제식당,0,152,null,null,null,null,False,,
2084,교촌치킨 상도터널점,1.4,738,"월,화,수,목,금,토,일",12:00,00:30,54,True,,
2085,노가리호프,5.0,2041,null,null,null,95,False,,
2086,한앤둘,0,1964,null,null,null,null,False,,
2087,나드리,0,2135,null,null,null,null,False,,
2088,이모이모,0,841,null,null,null,null,False,,
2089,밀알분식,4.0,183,null,null,null,null,False,,
2090,온씨닭집,5.0,1440,null,null,null,null,False,,
2091,아마르,4.4,175,"월,화,수,목,금,토",15:00,01:00,642,False,,
2092,황가네오리,5.0,742,null,null,null,null,False,,
2093,대패상회,3.6,1532,"월,화,수,목,금,토,일",15:30,02:30,611,False,,
2094,맛짱김밥분식 약수터점,4.0,2106,"월,화,수,목,금,토,일",09:00,24:00,552,False,,
2095, 건영한식,1.0,1686,null,null,null,null,False,,
2096,또와분식,4.8,2073,null,null,null,null,False,,
2097,동대문곱창,3.7,2123,"월,화,수,목,금,토,일",15:00,02:00,917,False,,
2098,맥반석조개구이,3.5,2214,null,null,null,605,False,,
2099,동해해물탕,4.9,1535,"월,화,수,목,금,토",11:30,21:00,162,False,,
2100,손칼국수,4.6,873,null,null,null,1016,False,,
2101,진성참숯불갈비,1.0,911,null,null,null,769,False,,
2102,오리미가,평점 없음,151,null,null,null,null,False,,
2103,신의주찹쌀순대,평점 없음,1317,null,null,null,null,True,,
2104,명갈비,평점 없음,679,null,null,null,null,False,,
2105,돈푸대,평점 없음,137,null,null,null,null,False,,
2106,삼성식당,평점 없음,363,null,null,null,null,False,,
2107,예가 숯불갈비,평점 없음,1097,null,null,null,null,False,,
2108,골목식당,4.8,1802,"화,수,목,금,토,일",11:30,20:00,171,False,,
2109,서울회관,평점 없음,140,null,null,null,null,False,,
2110,처음,평점 없음,1320,null,null,null,null,False,,
2111,갓포 탄,평점 없음,2186,null,null,null,null,False,,
2112,비비큐치킨 상도2점,평점 없음,82,null,null,null,null,False,,
2113,할매순대국,평점 없음,825,null,null,null,null,True,,
2114,가야성,평점 없음,757,null,null,null,null,False,,
2115,마산아구·동태찜·탕,평점 없음,1549,null,null,null,null,False,,
2116,치킨매니아,평점 없음,1707,null,null,null,null,True,,
2117,샤로스톤(숭실대점),평점 없음,530,null,null,null,null,False,,
2118,남도추어탕,5.0,1775,null,null,null,null,False,,
2119,산골안 국밥,3.7,1958,null,null,null,null,False,,
2120,황우와꿀꿀이,3.5,1024,null,null,null,502,False,,
2121,비비큐치킨상도점,2.8,1636,"월,화,수,목,금,토,일",12:00,24:00,775,False,,
2122,김밥천국,2.1,1030,null,null,null,null,True,,
2123,한방바베큐,0,681,null,null,null,null,False,,
2124,요거프레소 장승배기역점,5.0,2158,"월,화,수,목,금,토,일",11:00,22:00,null,True,,
2125,춘천닭갈비,0,611,null,null,null,67,True,,
2126,돈주반,0,749,null,null,null,null,False,,
2127,고향팥칼국수,5.0,2085,null,null,null,262,False,,
2128,포안베트남쌀국수,4.4,825,"월,화,수,목,금,토,일",10:00,21:00,1018,False,,
2129,선옥,3.3,1530,null,null,null,null,False,,
2130,고기스토리,5.0,2279,null,null,null,217,False,,
2131,부산어묵,0,969,null,null,null,null,True,,
2132,상도참숯갈비,0,40,null,null,null,null,False,,
2133, 동일식당,0,1239,null,null,null,440,False,,
2134,옛골,4.4,1018,"월,화,수,목,금,토,일",11:00,22:00,976,False,,
