id,name,isSoup,isSpicy,isSweet,isHot,isMeat,isNoodle,isRice,isBread
411,연어 무한리필,0,0,0,0,0,0,0,0
412,닭떡볶이,1,1,1,1,1,0,0,0
413,내장탕,1,1,0,1,0,0,0,0
414,순대국,1,0,0,1,1,0,1,0
415,물갈비,0,0,0,1,1,0,0,0
416,수플레 치즈케이크와 생크림,0,0,1,0,0,0,0,1
417,양아들 후라이드치킨,0,0,0,1,1,0,0,0
418,오늘라면,1,1,0,1,0,1,0,0
419,이가초밥,0,0,0,0,0,0,1,0
420,김치전,0,0,0,0,0,0,0,0
421,치즈 프라이 L,0,0,0,0,0,0,0,0
422,UV Vodka (1병) + 나쵸 or 황도 + 음료 2 (토닉워터 / 사이다 / 콜라),0,0,1,0,0,0,0,0
423,한방삼계탕,1,0,0,1,1,0,0,0
424,어묵우동,1,0,0,1,0,1,0,0
425,소고기국밥,1,0,0,1,1,0,1,0
426,正熟 돈마호크(210g),0,0,0,0,0,0,0,0
427,오야꼬동,0,0,0,0,0,0,0,0
428,오리지널 함박스테이크,0,0,0,1,1,0,0,0
429,조선의 육개장,1,1,0,1,1,0,1,0
430,생감자튀김,0,0,0,1,0,0,0,0
431,곱창볶음,0,0,0,1,1,0,0,0
432,스윗에그,0,0,0,0,0,0,0,0
433,생삼겹살 (1인분),0,0,0,1,1,0,0,0
434,돈가스,0,0,0,1,1,0,0,0
435,순대곱창버섯전골(중),1,1,0,1,1,0,0,0
436,삼백반고집,0,0,0,0,0,0,1,0
437,소 불고기 김치전,0,0,0,1,1,0,0,0
438,분짜,1,0,0,0,0,1,0,0
439,1인분 식사세트,0,0,0,0,0,0,0,0
440,치킨가라아게,0,0,0,1,1,0,0,0
441,프렌치 감자전,0,0,0,0,0,0,0,0
442,오인자 모듬한상세트 (3~4인),0,0,0,0,0,0,0,0
443,바나나쥬스 (M),0,0,1,0,0,0,0,0
444,모모초밥(12피스),0,0,0,0,0,0,1,0
445,부추북어국,0,0,0,0,0,0,0,0
446,마담떡볶이,1,1,1,1,0,0,0,0
447,항정 스테이크,0,0,0,1,1,0,0,0
448,반마리 메뉴(음료미포함),0,0,0,0,0,0,0,0
449,녹차수제돼지갈비,0,0,0,1,1,0,0,0
450,육회,0,0,0,0,1,0,0,0
451,크라운쌀통닭,0,0,0,1,1,0,0,0
452,모시조개탕,0,0,0,0,0,0,0,0
453,퀸즈팩,0,0,0,0,0,0,0,0
454,온고블렌다드 no.1,0,0,0,0,0,0,0,0
455,생우럭탕(1인),1,0,0,0,0,0,0,0
456,쿠바 샌드위치 오리지널,0,0,0,1,1,0,0,1
457,차돌라면,1,1,0,1,1,1,0,0
458,본김밥,0,0,0,0,0,0,1,0
459,메뉴,0,0,0,0,0,0,0,0
460,국내산 생 갈매기살,0,0,0,1,1,0,0,0
461,오리장작바베큐,0,0,0,1,1,0,0,0
462,뼈한마리,0,0,0,0,0,0,0,0
463,믹스카츠,0,0,0,1,1,0,0,0
464,닭다리살 스테이크,0,0,0,1,1,0,0,0
465,가츠동,0,0,0,1,1,0,1,0
466,우육도삭면,1,0,0,1,1,0,0,0
467,반반족발 (뒷다리로 반반),0,0,0,0,1,0,0,0
468,황제꽃갈비살 (250g),0,0,0,1,1,0,0,0
469,파인돈까스,0,0,0,1,1,0,0,0
470,트리플 현미베이크[TRIPLE SAUCE BROWN RICE BAKE],0,0,0,1,1,0,0,0
471,고르곤졸라피자,0,0,1,1,0,0,0,1
472,국물닭볶음탕(한마리),1,1,0,1,1,0,0,0
473,파스타+치킨,0,0,0,1,1,1,0,0
474,살치살스테이크(300g),0,0,0,1,1,0,0,0
475,회덮밥,0,0,0,0,0,0,1,0
476,특모듬 (중),0,0,0,0,0,0,0,0
477,커티삭 하이볼,0,0,0,0,0,0,0,0
478,치킨라이스,0,0,0,1,1,0,1,0
479,닭강정 (특대) +콜라 (대),0,0,0,1,1,0,0,0
480,두부김치,0,0,0,0,0,0,0,0
481,소갈비살 (170g),0,0,0,1,1,0,0,0
482,페퍼로니 피자,0,0,0,1,0,0,0,1
483,김치찌개(보통),1,1,0,1,0,0,1,0
484,미미네 생활 떡볶이,1,1,1,1,0,0,0,0
485,콤비네이션 피자(M),0,0,0,1,0,0,0,1
486,칼국수,1,0,0,1,0,1,0,0
