id,city,district,road,building_num,floor,location
483,서울특별시,관악구,관악로14길,105,null,설입
484,서울특별시,서대문구,성산로22길,10,null,신촌
485,서울특별시,관악구,관악로,144,1층,설입
486,서울특별시,동작구,사당로,32,null,숭입
487,서울특별시,동작구,성대로,23,1층,숭입
488,서울특별시,서대문구,연세로9길,7,null,신촌
489,서울특별시,관악구,관악로,251,null,설입
490,서울특별시,관악구,남부순환로,1699-8,null,설입
491,서울특별시,서대문구,신촌역로,35,null,신촌
492,서울특별시,서대문구,신촌로11길,57,null,신촌
493,서울특별시,동작구,장승배기로,47,null,숭입
494,서울특별시,동작구,국사봉1길,4,null,숭입
495,서울특별시,서대문구,명물길,33,null,신촌
496,서울특별시,관악구,봉천로,461-1,null,설입
497,서울특별시,관악구,남부순환로,1750,null,설입
498,서울특별시,동작구,성대로,18,null,숭입
499,서울특별시,동작구,상도로,304,null,숭입
500,서울특별시,관악구,낙성대로,22,null,설입
501,서울특별시,관악구,관악로40길,47,null,설입
502,서울특별시,관악구,봉천로23길,25,null,설입
503,서울특별시,동작구,상도로37길,60,null,숭입
504,서울특별시,관악구,장군봉2길,6,null,설입
505,서울특별시,관악구,남부순환로230길,31,null,설입
506,서울특별시,동작구,상도로,368,null,숭입
507,서울특별시,동작구,상도로26길,18,null,숭입
508,서울특별시,동작구,상도로,127,null,숭입
509,서울특별시,동작구,상도로,385,null,숭입
510,서울특별시,서대문구,연세로7길,25,null,신촌
511,서울특별시,관악구,남부순환로,1869-6,null,설입
512,서울특별시,관악구,관악로14길,28,null,설입
513,서울특별시,관악구,은천로,41,null,설입
514,서울특별시,관악구,관악로,154,null,설입
515,서울특별시,관악구,쑥고개로11길,35,null,설입
516,서울특별시,관악구,관악로11길,87,null,설입
517,서울특별시,동작구,상도로37길,65,null,숭입
518,서울특별시,서대문구,연세로2길,29,null,신촌
519,서울특별시,서대문구,연세로11길,21,null,신촌
520,서울특별시,관악구,청림2길,31-17,null,설입
521,서울특별시,동작구,상도로,154,null,숭입
522,서울특별시,관악구,은천로,34,null,설입
523,서울특별시,관악구,청룡7길,19,null,설입
524,서울특별시,서대문구,신촌로,87-20,null,신촌
525,서울특별시,관악구,행운1길,132,null,설입
526,서울특별시,동작구,국사봉길,90,null,숭입
527,서울특별시,관악구,장군봉1길,7,null,설입
528,서울특별시,관악구,보라매로,20,null,설입
529,서울특별시,동작구,사당로,18-1,null,숭입
530,서울특별시,관악구,쑥고개로,129,null,설입
531,서울특별시,동작구,성대로3길,7,null,숭입
532,서울특별시,동작구,상도로,127,null,숭입
533,서울특별시,서대문구,신촌로,61-6,null,신촌
534,서울특별시,관악구,남부순환로,1839,null,설입
535,서울특별시,관악구,남부순환로231길,10,null,설입
536,서울특별시,서대문구,명물길,19,null,신촌
537,서울특별시,동작구,성대로,35,null,숭입
538,서울특별시,관악구,남부순환로,1868,null,설입
539,서울특별시,관악구,관악로30길,12,null,설입
540,서울특별시,관악구,관악로12길,47,1층,설입
541,서울특별시,서대문구,연세로4길,67,null,신촌
542,서울특별시,서대문구,신촌로,39,null,신촌
543,서울특별시,관악구,청룡4길,36,null,설입
544,서울특별시,서대문구,연세로5다길,22-3,null,신촌
545,서울특별시,관악구,관악로14길,74-3,null,설입
546,서울특별시,관악구,장군봉1길,46,null,설입
547,서울특별시,관악구,봉천로,385,null,설입
548,서울특별시,관악구,양녕로,42,null,설입
549,서울특별시,관악구,당곡2길,3,null,설입
550,서울특별시,관악구,관악로,210,null,설입
551,서울특별시,관악구,남부순환로230길,48,null,설입
552,서울특별시,동작구,흑석로,23,null,숭입
553,서울특별시,서대문구,신촌로1길,14,null,신촌
554,서울특별시,관악구,관악로,230,null,설입
555,서울특별시,관악구,관악로14가길,6,null,설입
556,서울특별시,동작구,국사봉1길,11,null,숭입
557,서울특별시,관악구,관악로15길,9,null,설입
558,서울특별시,관악구,쑥고개로,85,null,설입
559,서울특별시,관악구,남부순환로,1708,null,설입
560,서울특별시,관악구,관악로,128,null,설입
561,서울특별시,관악구,관악로12길,47,null,설입
562,서울특별시,서대문구,연세로7안길,10,null,신촌
563,서울특별시,관악구,당곡2길,22,1층,설입
564,서울특별시,동작구,국사봉1길,18,null,숭입
565,서울특별시,관악구,봉천로47길,4,null,설입
566,서울특별시,서대문구,연세로7안길,10-4,null,신촌
567,서울특별시,관악구,관악로,196-1,null,설입
568,서울특별시,관악구,관악로,212,null,설입
569,서울특별시,서대문구,연세로5길,26-17,null,신촌
570,서울특별시,관악구,관악로28길,11,null,설입
571,서울특별시,관악구,관악로12길,3-6,null,설입
572,서울특별시,관악구,봉천로,554,null,설입
573,서울특별시,관악구,봉천로7길,24,null,설입
574,서울특별시,관악구,관악로30길,9,null,설입
575,서울특별시,관악구,관악로14길,35,null,설입
576,서울특별시,관악구,당곡길,59,null,설입
577,서울특별시,서대문구,연세로5다길,36,null,신촌
578,서울특별시,관악구,남부순환로226길,12,null,설입
579,서울특별시,관악구,양녕로,13,null,설입
580,서울특별시,관악구,관악로37길,15,null,설입
581,서울특별시,서대문구,연세로11길,35,null,신촌
582,서울특별시,관악구,쑥고개로,73-1,null,설입
583,서울특별시,서대문구,연세로5다길,12,null,신촌
584,서울특별시,동작구,양녕로,180,null,숭입
585,서울특별시,관악구,봉천로13길,17,null,설입
586,서울특별시,동작구,상도로15길,76,null,숭입
587,서울특별시,관악구,봉천로25길,5,null,설입
588,서울특별시,관악구,중앙길,17,null,설입
589,서울특별시,관악구,남부순환로,1838,1층,설입
590,서울특별시,관악구,남부순환로,1932,null,설입
591,서울특별시,서대문구,연세로11길,22,null,신촌
592,서울특별시,서대문구,신촌로,87-4,null,신촌
593,서울특별시,관악구,관악로14길,34,null,설입
594,서울특별시,관악구,양녕로,27-1,null,설입
595,서울특별시,서대문구,명물길,58-8,null,신촌
596,서울특별시,서대문구,신촌역로,43,null,신촌
597,서울특별시,서대문구,신촌로,87-4,null,신촌
598,서울특별시,관악구,남부순환로,1814,null,설입
599,서울특별시,관악구,봉천로,485-1,null,설입
600,서울특별시,관악구,남부순환로,1868,null,설입
601,서울특별시,동작구,국사봉1길,18,null,숭입
602,서울특별시,서대문구,연세로,8-1,지하3층,신촌
603,서울특별시,관악구,봉천로53길,5,null,설입
604,서울특별시,관악구,청림3길,15,null,설입
605,서울특별시,관악구,관악로14길,76,null,설입
606,서울특별시,관악구,쑥고개로,97,null,설입
607,서울특별시,관악구,당곡길,65,null,설입
608,서울특별시,서대문구,연세로,23,null,신촌
609,서울특별시,서대문구,연세로7안길,10-4,null,신촌
610,서울특별시,서대문구,연세로,8-1,지하3층,신촌
611,서울특별시,관악구,쑥고개로,61,1층,설입
612,서울특별시,동작구,성대로29길,1,1층,숭입
613,서울특별시,서대문구,연세로5길,26,null,신촌
614,서울특별시,서대문구,연세로7안길,37,null,신촌
615,서울특별시,동작구,양녕로30길,4,null,숭입
616,서울특별시,관악구,행운1길,4,null,설입
617,서울특별시,서대문구,연세로9길,22,null,신촌
618,서울특별시,관악구,봉천로,459,null,설입
619,서울특별시,관악구,인헌길,38,null,설입
620,서울특별시,관악구,봉천로,615,null,설입
621,서울특별시,서대문구,연세로9길,43,null,신촌
622,서울특별시,동작구,상도로15길,111-4,null,숭입
623,서울특별시,관악구,봉천로,473,null,설입
624,서울특별시,관악구,은천로,119,null,설입
625,서울특별시,동작구,상도로,179,null,숭입
626,서울특별시,동작구,양녕로,187,null,숭입
627,서울특별시,관악구,봉천로,596,null,설입
628,서울특별시,동작구,장승배기로,5,null,숭입
629,서울특별시,관악구,청룡길,24,null,설입
630,서울특별시,동작구,상도로,177-1,null,숭입
631,서울특별시,관악구,관악로14길,37,null,설입
632,서울특별시,관악구,인헌길,63,null,설입
633,서울특별시,관악구,중앙1나길,2,null,설입
634,서울특별시,동작구,성대로,80,null,숭입
635,서울특별시,서대문구,연세로7길,30,null,신촌
636,서울특별시,관악구,관악로,165,null,설입
637,서울특별시,관악구,봉천로,473-3,null,설입
638,서울특별시,관악구,관악로14길,50,null,설입
639,서울특별시,서대문구,연세로11길,32,null,신촌
640,서울특별시,관악구,봉천로,392,null,설입
641,서울특별시,서대문구,신촌로,55,null,신촌
642,서울특별시,관악구,은천로,1,null,설입
643,서울특별시,서대문구,연세로5다길,26,null,신촌
644,서울특별시,관악구,장군봉1길,3,null,설입
645,서울특별시,관악구,관악로14길,65,null,설입
646,서울특별시,관악구,봉천로,596,null,설입
647,서울특별시,관악구,봉천로,518-4,null,설입
648,서울특별시,동작구,만양로,17,null,숭입
649,서울특별시,서대문구,명물1길,22,null,신촌
650,서울특별시,관악구,남부순환로,1808,1층,설입
651,서울특별시,관악구,장군봉1길,17,null,설입
652,서울특별시,관악구,봉천로33길,7,null,설입
653,서울특별시,관악구,당곡길,28,null,설입
654,서울특별시,관악구,남부순환로230길,11,1층,설입
655,서울특별시,관악구,봉천로,333,null,설입
656,서울특별시,관악구,남부순환로,1849,null,설입
657,서울특별시,서대문구,연세로7안길,32,null,신촌
658,서울특별시,동작구,성대로,80,null,숭입
659,서울특별시,동작구,사당로,12-1,null,숭입
660,서울특별시,서대문구,연세로7길,13,null,신촌
661,서울특별시,관악구,관악로,287,지하1층,설입
662,서울특별시,관악구,관악로,152,null,설입
663,서울특별시,관악구,은천로39길,19,null,설입
664,서울특별시,관악구,쑥고개로,97,null,설입
665,서울특별시,서대문구,연세로5가길,18,null,신촌
666,서울특별시,관악구,남부순환로,1976,null,설입
667,서울특별시,관악구,봉천로49길,8,null,설입
668,서울특별시,관악구,남부순환로,1949,null,설입
669,서울특별시,관악구,남부순환로208길,10,null,설입
670,서울특별시,동작구,국사봉1길,45,null,숭입
671,서울특별시,관악구,관악로14길,111,null,설입
672,서울특별시,서대문구,신촌로,83,null,신촌
673,서울특별시,서대문구,연세로11길,12,null,신촌
674,서울특별시,관악구,쑥고개로,104,null,설입
675,서울특별시,관악구,관악로14길,46,null,설입
676,서울특별시,관악구,남부순환로230길,28,null,설입
677,서울특별시,관악구,보라매로3길,10,null,설입
678,서울특별시,관악구,남부순환로,1913,null,설입
679,서울특별시,동작구,상도로22길,46,null,숭입
680,서울특별시,관악구,봉천로62길,7,null,설입
681,서울특별시,관악구,봉천로,568-1,null,설입
682,서울특별시,관악구,봉천로49길,5,null,설입
683,서울특별시,서대문구,연세로7안길,29,null,신촌
684,서울특별시,서대문구,연세로5가길,15,null,신촌
685,서울특별시,서대문구,연세로5길,2,null,신촌
686,서울특별시,관악구,봉천로,401-1,null,설입
687,서울특별시,관악구,은천로,32,null,설입
688,서울특별시,관악구,남부순환로228길,5,지하1층,설입
689,서울특별시,관악구,봉천로,614-1,null,설입
690,서울특별시,관악구,장군봉1길,3,null,설입
691,서울특별시,서대문구,연세로9길,10-5,null,신촌
692,서울특별시,관악구,청룡1길,2,1층,설입
693,서울특별시,관악구,관악로14길,39,null,설입
694,서울특별시,동작구,양녕로26길,6,null,숭입
