restaurant_id,menu_id
2,25
2,30
2,4490
2,3741
2,782
3,43
3,1997
3,4020
3,4528
3,4976
3,1660
4,883
4,2203
4,1752
4,2119
4,4610
4,4497
5,1033
5,1000
5,2917
5,1073
5,2235
5,2399
6,751
6,213
6,2207
6,168
6,2437
7,71
7,2793
7,2894
7,3353
7,4541
7,502
8,371
8,2441
8,1373
8,3956
8,3611
9,445
9,2074
9,3037
9,4478
9,1317
10,285
10,2638
10,690
10,1187
10,1021
11,156
11,1386
11,4366
11,4547
11,2401
12,490
12,2532
12,3647
12,4984
14,30
14,3991
14,3812
14,726
14,812
14,3618
15,969
15,3596
15,4377
15,661
15,1200
15,220
15,3653
16,323
16,4658
16,1226
16,4043
16,2290
18,263
18,963
18,4574
18,4262
18,1460
19,273
19,4767
19,1293
19,675
19,413
19,4981
20,141
20,1957
20,1019
20,1238
20,1753
21,824
21,2061
21,1212
21,4277
21,4545
22,802
22,2322
22,2622
22,787
22,2939
23,605
23,2175
23,3007
23,536
23,934
23,2697
27,156
27,4327
27,1386
27,991
27,2774
27,2762
29,854
29,5019
29,2329
29,3230
29,3466
29,4743
30,995
30,1350
30,1229
30,2604
30,1344
30,4553
30,4036
34,205
34,73
34,3727
34,1949
35,196
35,4717
35,4711
35,1946
35,3303
35,3258
37,844
37,1230
37,2826
40,733
40,661
40,220
40,690
40,2505
40,3641
41,808
41,3692
41,788
41,820
41,2043
42,241
42,1166
42,2918
42,2685
42,90
43,617
43,782
43,4825
43,4932
43,1293
44,60
44,4206
44,3472
44,3416
44,3155
44,4324
45,533
45,4772
45,1326
45,1628
45,3483
47,949
47,3853
47,2331
47,1620
47,1903
47,4150
47,1951
48,186
48,3269
48,2078
48,1684
48,3724
49,295
49,848
49,1293
49,2996
49,1070
49,3912
51,667
52,736
52,1191
52,4051
52,3174
52,2726
52,4050
53,108
53,1286
53,1000
53,4541
53,566
53,1308
53,4623
53,4419
55,820
55,906
55,4216
55,2299
55,2233
56,238
56,4950
56,606
56,2371
56,2365
56,3161
60,782
60,3642
60,1063
60,3860
60,4944
63,617
63,1469
63,4387
63,3771
63,1923
65,156
65,4327
65,1386
65,991
65,2774
65,2762
66,695
66,4322
66,3563
66,3800
66,2900
68,20
68,4624
68,2505
68,1582
68,2962
68,3377
70,199
70,4697
70,1395
70,3764
70,217
71,414
71,2649
71,4039
71,2850
71,2915
71,2479
71,4495
72,289
72,4309
72,619
72,1798
72,4856
73,572
73,1829
73,3864
73,1605
73,782
74,1038
74,3811
74,1398
74,3236
74,3396
76,357
76,2359
76,3120
76,3293
76,3016
76,3752
78,74
78,2966
78,4094
78,3105
78,1026
79,739
79,1174
79,2945
79,450
79,3210
80,704
80,2505
80,220
80,733
80,20
84,22
84,1067
84,4414
84,1186
84,1124
84,2268
85,907
85,4747
85,4390
85,3840
85,3646
85,2112
91,400
91,2804
91,2982
91,1844
91,3872
91,4560
92,661
92,220
92,20
92,3011
92,1673
93,586
93,1654
93,3650
93,4759
93,2271
94,1026
94,2945
94,2227
94,3697
94,760
94,4634
97,239
97,3841
97,4100
97,4068
97,2454
98,661
98,220
98,2378
98,1481
98,3790
98,3293
101,1067
101,62
101,1845
101,3320
101,1412
101,1779
102,821
102,3862
102,1380
102,1740
102,1811
102,3240
102,2054
103,313
103,1649
103,1516
103,357
103,4183
104,237
104,4292
104,1452
104,4892
104,4859
104,4188
104,4716
105,727
106,836
106,3687
106,1560
106,4303
106,1159
108,705
108,2088
108,4498
108,4196
108,3142
109,982
109,2486
109,2240
109,1958
109,4088
110,822
110,3511
110,1517
110,2941
110,3393
110,4037
113,433
113,4415
113,1425
113,3859
113,1180
114,638
114,1695
114,1423
114,2597
114,4543
115,782
115,1019
115,4297
115,1342
115,1070
116,167
116,2683
116,3461
116,2807
116,3224
116,3605
117,973
117,3648
118,10
118,1850
118,2098
118,799
118,3964
119,810
119,4084
119,2342
119,1219
119,2096
120,723
120,3447
120,4532
120,3971
120,4976
120,3718
121,38
121,3702
121,4894
121,2427
121,2611
121,3965
122,667
122,560
122,3644
122,3296
122,2020
125,275
125,4222
125,2880
128,671
128,982
128,4894
128,1255
128,4191
128,2172
129,455
129,1787
129,4573
129,1580
129,1322
130,1
130,2073
130,1784
130,3124
130,22
131,74
131,2966
131,4094
131,3105
131,1026
135,390
135,3366
135,1060
135,3313
135,1938
139,414
139,2649
141,375
141,2701
141,4926
141,4541
141,2914
143,984
143,1252
143,1927
143,3403
143,2740
143,1719
144,176
144,3871
144,3163
144,2306
145,1007
145,3698
145,1281
145,1356
145,3438
148,661
150,635
150,4032
150,4773
150,4869
150,1063
150,791
153,661
153,4371
153,1374
153,4504
153,3735
153,379
153,1564
154,667
154,560
154,3748
154,1917
154,3682
155,359
155,3866
155,3047
155,4012
155,1372
156,94
156,25
156,90
156,782
156,4490
156,1495
157,234
157,112
157,1156
157,3376
157,3207
158,119
158,420
158,3716
158,343
158,771
158,726
158,4674
161,1068
161,1718
161,4879
161,391
161,2590
162,634
162,4738
162,2435
162,2921
162,4669
162,4374
164,969
164,3596
164,4377
164,661
164,1200
164,220
164,3653
167,937
167,2358
167,2593
167,2544
167,1421
167,1463
168,973
168,3648
169,973
169,3648
170,700
170,4787
170,4613
170,4220
170,1878
170,4565
173,961
173,3884
173,4035
173,4631
173,2725
173,1395
174,130
174,4578
174,4788
174,3916
174,654
174,3689
175,788
175,4405
175,4974
175,3194
175,330
176,257
176,1915
176,3211
176,1399
176,4503
177,527
177,1945
177,3290
177,1449
179,93
179,4931
179,2599
179,2023
180,356
180,4219
180,3190
180,941
180,1334
181,789
181,2040
181,3529
181,4274
181,2087
182,25
182,4812
182,94
182,3406
182,2939
184,713
185,1008
186,383
186,3430
186,3088
186,3740
186,4594
189,386
189,3262
189,1184
189,3048
189,1735
189,3248
189,1640
190,39
190,2323
190,3535
190,4018
190,3877
190,1495
192,521
192,786
192,2178
192,42
192,3076
192,97
192,3642
193,249
193,3912
193,3668
193,4168
193,872
193,2149
195,391
195,2838
195,2844
195,1722
195,3877
195,1067
196,1023
196,4899
196,1467
196,4324
196,4375
198,594
198,4140
199,450
199,1393
199,1346
199,255
199,3959
199,2893
200,378
200,4620
200,3055
200,1691
200,3792
202,230
202,3405
202,2132
202,4418
203,643
203,2194
203,4248
203,3152
203,1475
203,4787
204,602
204,231
204,1495
204,480
204,3737
206,405
206,4169
206,4983
206,2818
208,157
211,138
211,3877
211,4765
211,2930
211,81
213,163
213,3912
213,4969
213,872
213,2149
213,1169
215,1019
215,2953
215,4034
215,486
215,1363
215,1342
216,251
216,3066
216,1796
216,4123
216,2798
216,3933
216,2038
217,330
217,480
217,3037
217,788
217,3835
218,606
218,3018
218,3877
218,675
218,2685
222,506
222,557
222,4104
222,2178
222,3446
223,606
223,206
223,1597
223,3657
223,4770
227,322
227,4870
227,3530
227,1461
227,392
227,70
230,414
230,2649
230,1482
230,3353
230,1598
230,356
