id,name,external_star,address_id,business_date,starttime,fintime,bestmenu_id,franchise,internal_star,restaurant_type
1804, 태백산맥,3.3,2148,null,null,null,null,0,,
1805, 메시에,4.3,639,null,null,null,null,0,,
1806, 신촌형제갈비,2.5,2243,"월,화,수,목,금,토,일",11:00,22:00,923,0,,
1807, 주식회사 컬쳐컴플랙스,0,390,"월,화,수,목,금",10:00,22:00,null,0,,
1808, 꿈꾸는 반지하,3.0,1189,"월,화,수,목,금,토,일",00:00,24:00,281,0,,
1809,왕족발,4.3,1760,"월,화,수,목,금,토,일",14:00,04:00,112,1,,
1810,불닭발동대문엽기떡볶이 신촌점,2.0,398,"월,화,수,목,금,토,일",10:20,24:00,88,1,,
1811, 논지당,3.8,1378,null,null,null,613,0,,
1812, 채선당(신촌점),1.8,324,"월,화,수,목,금,토,일",11:00,22:00,null,1,,
1813,따봉이네,0,701,null,null,null,null,0,,
1814,홍콩반점 0410(신촌2호점),1.5,536,"월,화,수,목,금,토,일",11:00,22:30,969,1,,
1815, 돈쌀롱,5.0,1530,null,null,null,null,0,,
1816,돈 우마미,3.0,455,"월,화,수,목,금,토,일",11:00,22:00,465,0,,
1817,와사비,5.0,1108,"월,화,수,목,금,토",15:00,05:00,990,1,,
1818, 돈이면 돼지,1.0,1005,"월,화,수,목,금,토,일",16:00,02:00,1058,0,,
1819, 꼴목,3.8,811,"월,화,수,목,금,토,일",18:00,07:00,119,1,,
1820,빌리지,0,120,null,null,null,null,0,,
1821, 청년국수,3.5,921,"월,화,수,목,금,일",10:30,21:00,246,0,,
1822,남도밥상,4.1,869,null,null,null,null,0,,
1823,안녕타코,5.0,1300,"월,화,수,목,금,토,일",12:00,02:00,null,0,,
1824,루9(rue 9),4.8,488,"월,화,수,목",18:00,04:00,null,0,,
1825,오렌지신촌점,2.6,1098,null,null,null,893,0,,
1826, 카페카페,3.8,2263,"월,화,수,목,금",11:00,22:00,752,0,,
1827, 여우사이,3.2,1241,"월,화,수,목,일",11:00,23:00,null,0,,
1828, 이닌스페이스,0,613,null,null,null,null,0,,
1829,코다차야,3.4,789,"월,화,수,목,금",17:30,02:00,null,1,,
1830,동네아저씨 신촌점,4.3,1689,null,null,null,829,1,,
1831, 쭈꾸미달인,4.2,6,"월,화,수,목,금,토,일",16:00,02:00,497,0,,
1832, 히까루,3.0,2053,null,null,null,411,0,,
1833, 나주식당,4.3,316,null,null,null,782,0,,
1834,자연담은 치킨,3.8,3,null,null,null,null,0,,
1835,뉴타운,4.1,50,"월,화,수,목,금",16:00,01:00,147,0,,
1836,통큰갈비,4.4,1161,null,null,null,1013,1,,
1837,국제통닭 신촌점,4.1,1761,"월,화,수,목,금,토,일",14:00,02:00,45,1,,
1838,느루,5.0,533,"월,화,수,목,금,토",13:00,03:00,27,0,,
1839,뉴욕포차와치킨클럽,0,581,null,null,null,null,0,,
1840,싸움의 고수,2.5,1031,"월,화,수,목,금,토,일",11:00,22:30,950,1,,
1841,타임트래블러파티,2.3,790,null,null,null,null,0,,
1842,미분당,3.9,391,"월,화,수,목,금,토,일",11:00,21:00,null,1,,
1843,로빈스에그,5.0,1863,null,null,null,null,0,,
1844,신촌해물칼국수,4.2,2103,"월,화,수,목,금,토,일",11:00,23:00,786,0,,
1845,재벌술상 신촌점,4.5,609,"월,화,수,목,금,토,일",15:00,05:00,781,0,,
1846,이나닭강정 신촌점,3.7,541,"월,화,수,목,금,토,일",11:00,01:00,495,0,,
1847,컴포즈 커피 신촌 연세대점,4.8,1477,"월,화,수,목,금,토,일",07:00,19:30,null,0,,
1848,이빠네마 그릴(IPanema Grill),4.5,1327,"화,수,목,금,토,일",11:30,22:00,401,0,,
1849,영월다한우,1.6,777,"월,화,수,목,금,토,일",11:00,24:00,536,0,,
1850,별당,3.8,194,"월,화,수,목,금,토,일",11:00,19:30,15,0,,
1851,독립문1897설렁탕,2.9,194,"월,화,수,목,금,토,일",11:00,20:30,null,0,,
1852,셀프커피숍,0,194,null,null,null,null,0,,
1853,비아메렝게,3.7,2168,"월,화,수,목,금,토",12:00,23:00,184,0,,
1854,피망과 토마토,4.4,2125,"월,화,수,목,금,토,일",18:00,02:00,741,0,,
1855,갑돌이 포차,0,1133,null,null,null,null,0,,
1856,매거진,4.7,1073,null,null,null,null,0,,
1857,본도시락 신촌,3.3,1187,"월,화,수,목,금",09:00,19:30,685,0,,
1858,타코벨 신촌점,3.3,268,"월,화,수,목,금,토,일",07:30,24:00,406,0,,
1859,포메인 신촌점,3.1,1167,"월,화,수,목,금,토,일",11:00,22:00,null,1,,
1860,오브젝트(object),3.8,748,"월,화,수,목,금,토,일",12:00,21:00,null,0,,
1861, 현대백화점 신촌점  차이(chai)797 현대신촌점,3.7,672,null,null,null,529,0,,
1862,한숨,5.0,1965,"월,화,수,목,일",16:00,02:00,null,0,,
1863,쏘우굿(SOW GOOD),0,991,null,null,null,655,0,,
1864,피자나라 치킨공주,3.7,1085,"월,수,목,금,토,일",12:00,24:00,888,1,,
1865,보헤미안PJ,5.0,917,"월,화,수,목",19:00,01:00,null,0,,
1866,책다방 위숨,3.8,2073,"월,화,수,목,금,토,일",11:30,23:00,null,0,,
1867,카페봄날,4.7,542,"월,화,수,목,금,토,일",10:00,20:00,667,0,,
1868,대운 재영이네 피자,0,907,null,null,null,null,0,,
1869,마리아칼국수,5.0,194,null,null,null,486,0,,
1870,쿠벤(신촌점),0,791,"월,화,수,목,금,토,일",10:00,20:00,null,1,,
1871,카시타(Casita),5.0,2024,null,null,null,null,0,,
